,Capacity,DaysShowedInWeek,Index,LastDate,Lifetime,Movie,OccAtWeek,OccPer,OtherReleasesInWeek,ReleaseDate,ShowsInWeek,WeeksSinceRelease
0,3100,5,0,2015-12-17,2,0001000001,2494,0.8045161290322581,8,2015-12-04,10,0
1,3390,7,1,2015-12-17,2,0001000001,1932,0.569911504424778,4,2015-12-04,14,1
2,860,2,2,2015-12-17,2,0001000001,222,0.25813953488372005,4,2015-12-04,4,2
3,110,1,3,2016-01-06,5,0001000002,59,0.536363636363636,8,2015-12-04,1,0
4,720,6,4,2016-01-06,5,0001000002,630,0.875,7,2015-12-04,6,3
5,1320,7,5,2016-01-06,5,0001000002,980,0.7424242424242421,7,2015-12-04,11,4
6,120,1,6,2016-01-06,5,0001000002,34,0.28333333333333305,6,2015-12-04,1,5
7,2630,5,7,2016-01-13,6,0001000003,1725,0.655893536121673,8,2015-12-04,14,0
8,4590,7,8,2016-01-13,6,0001000003,3479,0.7579520697167751,4,2015-12-04,28,1
9,1955,7,9,2016-01-13,6,0001000003,1230,0.6291560102301791,4,2015-12-04,13,2
10,1048,7,10,2016-01-13,6,0001000003,798,0.761450381679389,7,2015-12-04,8,3
11,1847,7,11,2016-01-13,6,0001000003,1116,0.604223064428803,7,2015-12-04,10,4
12,1102,7,12,2016-01-13,6,0001000003,853,0.774047186932849,6,2015-12-04,9,5
13,120,1,13,2016-01-13,6,0001000003,96,0.8,11,2015-12-04,1,6
14,2860,5,14,2016-01-13,6,0001000004,1540,0.538461538461538,8,2015-12-04,15,0
15,3349,7,15,2016-01-13,6,0001000004,2369,0.7073753359211701,4,2015-12-04,16,1
16,1537,7,16,2016-01-13,6,0001000004,961,0.625243981782693,4,2015-12-04,9,2
17,1397,7,17,2016-01-13,6,0001000004,851,0.6091624910522541,7,2015-12-04,11,3
18,862,7,18,2016-01-13,6,0001000004,645,0.7482598607888631,7,2015-12-04,7,4
19,895,7,19,2016-01-13,6,0001000004,643,0.7184357541899441,6,2015-12-04,7,5
20,131,1,20,2016-01-13,6,0001000004,99,0.755725190839694,11,2015-12-04,1,6
21,440,4,21,2015-12-23,3,0001000005,335,0.761363636363636,8,2015-12-04,4,0
22,1040,7,22,2015-12-23,3,0001000005,926,0.8903846153846151,4,2015-12-04,9,1
23,890,7,23,2015-12-23,3,0001000005,671,0.753932584269662,4,2015-12-04,8,2
24,110,1,24,2015-12-23,3,0001000005,101,0.9181818181818181,7,2015-12-04,1,3
25,110,1,25,2015-12-04,0,0001000006,41,0.372727272727272,8,2015-12-04,1,0
26,600,5,26,2015-12-10,1,0001000007,242,0.40333333333333304,8,2015-12-04,5,0
27,240,2,27,2015-12-10,1,0001000007,51,0.21250000000000002,4,2015-12-04,2,1
28,1260,5,28,2015-12-17,2,0001000008,1136,0.901587301587301,8,2015-12-04,11,0
29,1680,7,29,2015-12-17,2,0001000008,1366,0.8130952380952381,4,2015-12-04,15,1
30,440,2,30,2015-12-17,2,0001000008,321,0.729545454545454,4,2015-12-04,4,2
31,120,1,31,2017-01-17,148,1234000622,26,0.216666666666666,9,2014-03-14,1,148
32,120,1,32,2015-01-08,5,HO00000735,19,0.15833333333333302,3,2014-12-05,1,4
33,240,2,33,2015-01-08,5,HO00000735,47,0.19583333333333303,3,2014-12-05,2,5
34,930,1,34,2015-01-13,4,HO00000745,154,0.165591397849462,3,2014-12-12,3,3
35,2410,7,35,2015-01-13,4,HO00000745,696,0.288796680497925,3,2014-12-12,11,4
36,240,1,36,2015-01-13,4,HO00000746,186,0.775,3,2014-12-12,2,3
